code,name
CITY,Journal Citibank
CAI2,Journal coffre
CAI,Journal Caisse Principale
RAN,RAN
ACH2 ,Journal des achats 2
CITI2,Journal CitiBank Salaire
CITI3,Journal Citibank 2
ATL,Journal Banque Atlantique
VTES,Journal des ventes
ODCA,Journal des Operations sur les compagnies aeriennes
SAFE,SAFE
SAL,SAL
OD,Journal des opérations diverses
ACH,Journal des achats
